     1   0.1501766588308E+00  -0.5608200968462E+00   0.8142037767757E+00
     2   0.4331463585988E+00  -0.7648307362885E+00   0.4768838190389E+00
     3   0.9567938498758E-01  -0.5715017559890E+00   0.8150038025616E+00
     4   0.6198316690590E-01  -0.6599887991197E+00   0.7487141457571E+00
     5  -0.6518178216083E+00  -0.1224356264544E+00  -0.7484270470851E+00
     6  -0.6443373756543E+00  -0.1523007268010E+00  -0.7494223341687E+00
     7  -0.6393354654583E+00  -0.1223190488857E+00  -0.7591364916054E+00
     8  -0.8679274549072E+00   0.4966878472403E+00   0.1765055851949E-02
     9   0.4956450136144E+00  -0.7403293932934E-01  -0.8653641686443E+00
    10   0.4876035095627E+00  -0.1361150453717E+00  -0.8623894200914E+00
    11   0.4924482773994E+00  -0.8938129377257E-01  -0.8657399600399E+00
    12   0.8694886718377E+00   0.1136874187043E-01  -0.4938220339901E+00
    13  -0.4882769378452E+00   0.1157402244389E+00   0.8649796716775E+00
    14  -0.4565190784856E+00   0.2051370681718E+00   0.8657419443694E+00
    15  -0.4663950139565E+00   0.1802493404449E+00   0.8660172436076E+00
    16  -0.9407918181746E+00   0.3201949158334E+00   0.1112922761476E+00
    17   0.4939211244562E-01  -0.5013020364543E+00   0.8638614978542E+00
    18   0.1579409218008E-02  -0.5014067269311E+00   0.8652102632625E+00
    19  -0.1274907833476E-01  -0.5143039324835E+00   0.8575132220751E+00
    20   0.2174848827622E+00  -0.9499415186602E+00   0.2243021107691E+00
    21   0.3934273112330E+00  -0.4493588910530E+00  -0.8020545728363E+00
    22   0.4170803371516E+00  -0.4245342930435E+00  -0.8036259244148E+00
    23   0.3420511215700E+00  -0.4651258170049E+00  -0.8164918888686E+00
    24   0.5671865590311E+00  -0.4955475313563E+00  -0.6578237236686E+00
    25  -0.4914900353161E+00   0.1117658475503E+00   0.8636816198729E+00
    26   0.3718108644748E+00  -0.3729697487505E+00  -0.8500883763324E+00
    27   0.1372913742899E+00  -0.4810156893890E+00  -0.8658954816300E+00
    28   0.1561195717828E+00  -0.4783072593805E+00  -0.8642041685448E+00
    29   0.1797852297119E+00  -0.4778571751475E+00  -0.8598428875891E+00
    30   0.3269190599154E+00  -0.8795550949321E+00  -0.3456975025118E+00
    31   0.4996796209895E+00  -0.1803007377177E-01  -0.8660226283461E+00
    32   0.4972277993760E+00  -0.7140818833689E-01  -0.8646764632891E+00
    33   0.5008133508802E+00  -0.3429541198252E-01  -0.8648756051000E+00
    34   0.9052728542456E+00  -0.2021419877845E-01  -0.4243494380035E+00
    35   0.2275906142638E+00  -0.4928770984851E+00   0.8398063336794E+00
    36   0.4157250182605E+00  -0.7121792440811E+00   0.5656619427648E+00
    37  -0.4886478138525E+00   0.1202965909187E+00  -0.8641481610410E+00
    38  -0.4592155756100E+00   0.2054825058002E+00  -0.8642326046426E+00
    39  -0.4760384982916E+00   0.1539059477318E+00  -0.8658523588910E+00
    40   0.5619894441484E+00   0.7485728419719E-01  -0.8237501148215E+00
    41   0.5312737123925E+00   0.9761853694303E-01  -0.8415574037258E+00
    42   0.5219908719899E+00   0.1111738318756E+00  -0.8456748244244E+00
    43   0.7687628531159E+00   0.3402729271494E+00  -0.5414960855983E+00
    44   0.4150041365517E+00   0.3896290917473E+00   0.8221683145860E+00
    45   0.4253730377962E+00   0.3902354150727E+00   0.8165623672072E+00
    46   0.4280998042824E+00   0.3757383529703E+00   0.8219192464473E+00
    47   0.4157365361554E+00   0.9057232731531E+00   0.8263464754175E-01
    48   0.4996886667684E+00  -0.3599770289516E-01  -0.8654567589946E+00
    49   0.4973852233758E+00   0.3462768813256E+00   0.7954245790940E+00
    50   0.3982207500099E+00   0.9171634038932E+00  -0.1521593968494E-01
    51  -0.4701846793312E+00   0.1723513498427E+00   0.8655757503128E+00
    52  -0.9100005238561E+00   0.2993984433104E+00   0.2868093769823E+00
    53  -0.3833163190470E+00   0.4422784676318E+00  -0.8108380581975E+00
    54  -0.4797943963732E+00   0.3247308570281E+00  -0.8150749706025E+00
    55  -0.5347564936388E+00   0.3406624588574E+00  -0.7732946279629E+00
